,Unnamed: 0,description,imageurl,name,price,price_new
0,0,10 Red Roses Bunch,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/29-09-2018/1541232062DSC_6526-600x600.jpg,Blooming Love,399,399
1,1,6 Blue Orchids with Arica Palm Leaves in Blue special paper,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/04March/royal-blue-600x600.jpg,Royal Blue Flowers,845,845
2,2,Special Anniversary Gift,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/05032019/IMG_4200-600x600.jpg,Age of Feminism ,345,345
3,3,Coffee Mug for Best Friend,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/01-01-2018/1544700480GDS_0018-600x600.jpg,Bestie Floral Mug,395,395
4,4,"12 Assorted Carnations (Yellow,White,Red and Pink) with Jute Packing",https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/009/1557125474IMG_8794-600x600.jpg,Hello Gorgeous,645,645
5,5,Gift Pack of Kajal and Lipbalm for Her,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/05032019/IMG_4269-600x600.jpg,Mesmerized By Beauty,1295,1295
6,6,Special Anniversary Gifts,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/new-flowers/5I5B3959-600x600.jpg,The Perfect Couple,1650,1650
7,7,Half Kg Vanilla Cream Cake Topped with Cherries,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/29-09-2018/1542962910GDS_0114-600x600.jpg,Vanilla Cake Delight,599,499
8,8,8 Assorted Asiatic Lilies with White Paper packing,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/04March/exotic-asiatic1-600x600.jpg,Exotic Asiatic,1499,1499
9,9,Anniversary Gift Online,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/01-01-2018/15754568623-600x600.jpg,12 Assorted Roses,499,499
10,10,Always Right Printed Quote Red Handle Ceramic Mug,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/05032019/IMG_4445-600x600.jpg,Always Right ,295,295
11,11,One Sketch Art Personalised Black Handle Mug,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/03042019/IMG_6132-600x600.jpg,An Emotional Gesture,345,345
12,12,Online Anniversary Gift Delivery,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/01-01-2018/1544708810Frame_6-600x600.jpg,Black Portrait Frame For Her,499,499
13,13,300 Red roses Bouquet,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/009/15548174158460-600x600.jpg,Enchanting Red Roses Bouquet,7950,7950
14,14,Gold Rose 6 Inches,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/Flowers/IMG_9758-600x600.jpg,Heart Of Gold,1450,945
15,15,Coffee Mug for Married Couple,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/01-01-2018/1544701119GDS_0021-600x600.jpg,Just Married Game Over Mug,295,295
16,16,Kissing Couple Doll Set,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15790844063-600x600.jpg,You and Me,795,795
17,17,Anniversary Gift Online Order,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/6June17/IMG_8958-600x600.JPG,All Fade Away,695,695
18,18,One Bouquet of 6 Red Roses and 5 Kitkat (13.2 gm) Chocolates ,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/03042019/IMG_5927-600x600.jpg,Breeze of Sweetness ,599,599
19,19,Girl Power Combo of Cushion and Mug,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/05032019/IMG_4204-600x600.jpg,Epitome Of Power,599,599
