,Unnamed: 0,description,imageurl,name,price,price_new
0,0,Half Kg Pineapple Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/05-05-2018/1569667735IMG_8509-600x600.jpg,Pineapple Cake,699,499
1,1,2 Kg Barbie Princess Vanilla Cream Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/15-06-2018/1529558601barbie-9-600x600.jpg,Floral Barbie Cake,2949,2949
2,2,Chocolate Cream Cake Half Kg,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/26-07-2018/1538052648GDS_0074-600x600.jpg,Chocolate Cake,699,599
3,3,Half Kg Red Velvet Heart Shape Cream Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/24012018/IMGL8368-600x600.jpg,Red Velvet Heart Cake,999,999
4,4,Designer Vanilla Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/160320347953-600x600.jpg,Vanilla Desire Cake,749,749
5,5,Chocolate Munch Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16059402201-600x600.jpg,Munchy Chocolate Cake,999,849
6,6,Half Kg Designer Rose Vanilla Cream Cake ,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/1575554822IMG_5663-600x600.jpg,Rose Swirls,849,849
7,7,Butterscotch Photo Cake for Birthday,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16045750632-600x600.jpeg,Creamy Butterscotch Birthday Cake,979,979
8,8,Oreo Vanilla Cream Cake Half Kg,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15758751323-600x600.jpg,Oreo Cake,749,749
9,9,Half Kg Vanilla Fruit Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15794322373-600x600.jpg,Vanilla-Fruit Cake,749,749
10,10,Chocolate Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16122176122-600x600.jpg,Ultimate Chocolatey Cake,749,699
11,11,Half Kg Blackforest Cake Topped with Cherries,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/10102018/15391520305811-600x600.jpg,Exotic Black Forest Cake,845,845
12,12,Happy 1st Anniversary Photo Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16025838571-600x600.jpg,First Anniversary Special,1049,1049
13,13,10 Red Roses Bunch with Half Kg Pineapple Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/29-09-2018/1542000133_DSC1170-600x600.jpg,Pump It Up,945,945
14,14,Half Kg Coffee Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/009/1557301930IMG_8356-600x600.jpg,Coffee Cake,745,649
15,15,Chocolate Cream Cake ,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16155457544_1-600x600.jpg,Swirl in Chocolate Cake,699,699
16,16,Half Kg Designer Butterscotch Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/05-05-2018/1569668148IMG_8145-600x600.jpg,Buttery Butterscotch Cake,699,699
17,17,Half kg Red Velvet Vake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/05-05-2018/1568356271IMG_7890-600x600.jpg, Velvety Surprise Cake,799,799
18,18,Half Kg Heart Shaped Photo Printed Truffle Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/157858115529a-600x600.jpg,Photo Love Truffle Cake,1049,1049
19,19,Half Pineapple Cream Round Shape Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/009/1557300081IMG_8154-600x600.jpg,Pineapple Spread,725,725
20,20,2 Tier 2 Kg Chocolate Cream Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/04-08-2018/1569997101IMG_2490-600x600.jpg,2 Tier Chocolate Cake,3650,3450
21,21,10 Roses (Red and Pink) with Half Kg Truffle Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/27thDec/hearfelt-surprisea-600x600.JPG,Heartfelt Surprise,1245,1245
22,22,Half Kg Chocochip Coffee Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/Cakes/NewCakes/coffee-cake-1-600x600.jpg,Coffee Chocochip Cake,699,699
23,23,alf Kg Vanilla Cream Cake decorated with Fondant Specks and Mustache,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/12062019/IMG_0162-600x600.jpg,Vanilla Indulgence ,799,799
24,24,Half Kg Mango Fruit Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15902351221-600x600.jpg,Delicious Mango Cake,799,799
25,25, Half Kg Round Shape Love Theme Photo Pineapple Cream Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15785789838469-600x600.jpg,Pineapple Celebrations,999,999
26,26,Half Kg Heart Shape Chocolate Cream Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/05-05-2018/1568699695IMG_8185-600x600.jpg,Heart Shaped Chocolate Cake,799,699
27,27,Designer Vanilla Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16032089081-600x600.jpg,Floral Delight Vanilla Cake,799,799
28,28,Half Kg Strawberry Photo Cake for Birthday,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16045731822-600x600.jpeg,Strawberry Punch Photo Cake,999,999
29,29,8 Pink Roses in Pink paper packing with Half Kg Black Forest Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/27thDec/cake-and-rosesa-600x600.JPG,Cake and Roses,1295,1099
30,30,One Kg Round Shape Photo Printed Truffle Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/04March/photo-truffle-cake-600x600.jpg,Photo Printed Truffle Cake,1699,1449
31,31,Half Kg Designer Butterscotch Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/05-05-2018/1568382344IMG_8082-600x600.jpg,Exotic Butterscotch Cake,775,775
32,32,Half Kg Vanilla Birthday Designer Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15904918982-600x600.jpg,Vanilla Cake For 1st Birthday,899,899
33,33,Happy Birthday Photo Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16025884044-600x600.jpeg,Birthday Joy Cake,1049,949
34,34,Half Kg Delicious Chocolate Cream Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15904912191-600x600.jpg,Mouthwatering Chocolate Cream Cake,899,899
