,Unnamed: 0,description,imageurl,name,price,price_new
0,0,Christmas Tree and Dairy Milk Chocolate,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16084673551-600x600.jpg,Welcome Christmas,699,699
1,1,Half Kg Pineapple Cake for Christmas,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/1576583397IMG_3-600x600.jpg,Christmas Pineapple Cake,599,499
2,2,10 Red Roses in Paper Packing with 2 Cadbury's Dairy Milk Silks and Black Forest Cake (Half Kg) and 1 Teddy Bear (6 Inches),https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/13thJan/bouquet-of-emotions-600x600.JPG,Bouquet of Emotions,1850,1550
3,3,Bouquet of 10 Dairy Milk Chocolate (13.2 gm Each) in Paper Packing,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/27thDec/dairymilk-bouqueta-600x600.jpg,Dairy Milk Bouquet,599,599
4,4,Plants for Christmas,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16084712651-600x600.jpg,Spiritful Money Plant,699,699
5,5,Half Kg Butterscotch Cake for Christmas,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/1576584630IMG_9-600x600.jpg,Christmas Crunchy Butterscotch,799,679
6,6,One 2 Layer Lucky Bamboo and Glass Vase covered with 8 DairyMilk Chocolates (13.2 gm),https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/03042019/IMG_6188-600x600.jpg,Wishing Luck ,799,799
7,7,Chocolate Hamper of 10 Dairy Milk Silks Chocolate (60 gm),https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/31102018/DSC_6419-600x600.jpg,Sweet Chocolate Hamper,1749,1749
8,8,Christmas Greeting Card and Five Star Chocolates,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16084730561-600x600.jpg,Enjoy Christmas Fun,449,449
9,9,10 Pink Roses in Jute Packing and Pink Rafia,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/009/1557125390IMG_8823-600x600.jpg,Jute Wrapped Beauties ,599,599
10,10,8 Pink Roses with Pink paper packing,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16130358251-600x600.jpg,Pink Beauty Bouquet,495,399
11,11,Half Kg Chocolate Cream Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/05-05-2018/1568353523IMG_7997-600x600.jpg,Ultimate Chocolate Cake,699,699
12,12,Christmas Tree and Plum Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16084691911-600x600.jpg,Delicious Celebrations,949,949
13,13,Christmas Greeting Card with Dairy Milk Chocolates,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16084727641-600x600.jpg,Hola Christmas Pack,449,449
14,14,10 Red Roses in Cellophane Packing,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/009/1556889992IMG_8207-600x600.jpg,Bold Roses,449,445
15,15,Bouquet of 8 5-Star Chocolates in blue and purple paper packing,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/19082018/DSC_4970-600x600.jpg,5 Star Chocolate Bouquet,545,545
16,16,Jade Plant in a Round Glass Vase,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/26-07-2018/1536310812Plant_1-600x600.jpg,Fantastic Jade Terrarium,799,599
17,17,"Christmas Combo of Wine, Cake and Greeting Card",https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16085624904-600x600.jpg,Winey Christmas Combo,3299,3299
