,Unnamed: 0,description,imageurl,name,price,price_new
0,0,10 Red Roses Bunch,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/29-09-2018/1541232062DSC_6526-600x600.jpg,Blooming Love,399,399
1,1,12 Mix Roses in Paper Packing with Half Kg Chocolate Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/29-09-2018/1542094973_DSC1106-600x600.jpg,Floral Medley Hamper,1249,1049
2,2,10 Mix Carnations Bunch,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/009/1556890411IMG_8180-600x600.jpg,Assorted Carnations,595,495
3,3,A Bunch of 12 Assorted Roses ,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/01-01-2018/15754568623-600x600.jpg,12 Assorted Roses,499,499
4,4, One Bouquet of 10 Red Roses in Cellophane Packing with 1/2 Kg Chocolate Cake topped with Fresh Cherries,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/1579074950Cake-and-flower-600x600.jpg,Wrapped With Love,1025,999
5,5,One Fish Bowl Glass Vase with 15 Yellow Roses,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/1570461686IMG_9146-600x600.JPG,Bowl of Roses,799,799
6,6,Lilies Roses Arrangement,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/1611387971IMG_26_2-600x600.jpg,Swiss Floral Delight,799,799
7,7,8 Mixed Roses,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16130365633-600x600.jpg,8 Mixed Roses Bouquet,399,399
8,8, 6 Red Roses wrapped in a Red paper and a Red bow with 1 Teddy Bear (6 Inches),https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/13thJan/love-duel-600x600.JPG,Love Duel,695,695
9,9,10 Red Roses in Cellophane Packing,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/009/1556889992IMG_8207-600x600.jpg,Bold Roses,449,445
10,10,20 Pink Roses in Glass vase ,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/1042019/155757799720-Pink-Roses-600x600.jpg,Divine Pink Roses,825,825
