,Unnamed: 0,description,imageurl,name,price,price_new
0,0,10 Red Roses in Paper Packing with 2 Cadbury's Dairy Milk Silks and Black Forest Cake (Half Kg) and 1 Teddy Bear (6 Inches),https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/13thJan/bouquet-of-emotions-600x600.JPG,Bouquet of Emotions,1850,1550
1,1,Tera Jaisa Yaar Kaha Printed Coffee Mug for Friend,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/03-08-2018/1533291175Tere-jaisa-yaar-kahaan-1-1-600x600.jpg,Tere Jaisa Yaar Kahaan Mug,295,295
2,2,10 Yellow Roses Bunch,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/181017/_MG_2869-600x600.jpg,Freshness Personified,399,399
3,3,One Kg Maggi Theme Chocolate Fondant Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/1593787160cake-600x600.jpg,Maggi Theme Designer Cake,2450,2450
4,4,Happy Friendship Day Gift,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/03-08-2018/1533291333Cheers-to-our-friendship-2-2-600x600.jpg,Cheers To Our Friendship Mug,295,295
5,5,10 Red Roses in Red Paper Packing with Half Kg Butterscotch Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/1570794878IMG_9444-600x600.jpg,Love is Delicious,1095,999
6,6,150 Red Roses with Paper Packing,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/009/15548177068459-600x600.jpg,Sizzling Red Roses,3545,3545
7,7,Butterscotch Cream Cake Half Kg,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/10102018/15391542995677-600x600.jpg,Butterscotch Fantasy Cake,845,845
8,8,Friendship Day Gifts,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/03042019/IMG_6188-600x600.jpg,Wishing Luck ,799,799
9,9, 6 Purple Orchids in Cellophane Packing,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/05-05-2018/15681950821556890881IMG_8296-800x800-600x600.jpg,Orchids Fascination,699,599
