,Unnamed: 0,description,imageurl,name,price,price_new
0,0,"Set of Dairy Milk Silk, Multicolor Pearl Necklace and a greeting card for Mom",https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/07052019/IMG_9232-600x600.jpg, Love for Mommy,699,699
1,1,Ma Printed Mug with Necklace,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/28032018/_DSC7884-600x600.jpg,Adorable Mug N Neckpiece,795,645
2,2,Set of Orange Neclace and Silver Personalised Mug for Mothers Day,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/07052019/IMG_9284-600x600.jpg,An Overwhelming Surprise,549,549
3,3,Sea Green Color Earring Set,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/15122018/GDS_0085-600x600.jpg,Aqua Blue Silk Thread Jhumkas,399,399
4,4,Aqua Green Beaded Designer Pendant,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/157509937612-600x600.jpg,Aqua Green Beaded Set,395,395
5,5,Black Color Necklace,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/10052018/DSC_0953-600x600.jpg,Black Beauty,595,595
6,6,Metallic Gold Plated Earrings,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/28032018/_DSC7837-600x600.jpg,Bohemian Earrings,595,495
7,7,Brown Stone Necklace Set,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/Friendshipdayproducts/IMGL5297-600x600.jpg,Brown Square Set,395,395
8,8,Designer Pendant,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/28032018/_DSC7831-600x600.jpg,Chic Pom Pom Neckpiece,495,495
9,9,Brown Color Pearl Necklace with 4 pcs Ferrero Rocher Chocolate,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/07052019/IMG_9278-600x600.jpg,Classic Pearl Necklace Set,599,599
10,10,Designer Clock Pendant,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/Friendshipdayproducts/IMGL5277-600x600.jpg,Clock Pendant Necklace,345,345
11,11,Designer Colorful Stone Neckpiece,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/28032018/_DSC7846-600x600.jpg,Colorful Surprise,495,495
