,Unnamed: 0,description,imageurl,name,price,price_new
0,0,Send New Year Gifts Online,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/19082018/DSC_4976-600x600.jpg,KitKat Chocolate Bouquet,595,595
1,1,One Dual Personalised Image Love Cushion for Couple,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/1580134821Valentine-Love-Cushion-600x600.jpg,You and I Personalised Cushion,345,345
2,2,10 Red Roses with New Year Greeting Card,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15777016711-600x600.jpg,New Year Roses,549,549
3,3,New Year Gift,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16025854243-600x600.jpg,Happy New Year Pineapple Photo Cake,999,999
4,4,New Year Special Gift,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/13thJan/bouquet-of-emotions-600x600.JPG,Bouquet of Emotions,1850,1550
5,5,"Chocolate Tower arrangement of 12 Cadbury's DairyMilk Chocolates (14gms each), 12 5-Star Chocolates (22gms each) and 10 KitKats (12gms each)",https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/6June17/IMG_8861-600x600.jpg,Chocolate Tower,1495,1495
6,6,One Personalised Square Table Clock for Couple,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/05-05-2018/1569676801IMG_8540-600x600.JPG,Personalised Cute Couple Clock,599,449
7,7,One Bouquet of 10 Dairy Milk Chocolates and a Greeting Card for New Year,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/157770234410-600x600.jpg,New Year Dairy Milk Bouquet,749,749
8,8,One Kg Minion Theme Vanilla Fondant Cake for New Year,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16020777601-600x600.jpg,Minion New Year Cake,1899,1899
9,9,8 Pink Roses with Pink paper packing,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16130358251-600x600.jpg,Pink Beauty Bouquet,495,399
10,10,10 Yellow Roses Bunch,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/181017/_MG_2869-600x600.jpg,Freshness Personified,399,399
11,11,One Personalised Newspaper for Couple,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/06062019/IMG_9922-600x600.jpg,Personalised Newspaper,399,399
12,12,One Personalised Name Beer Mug ,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/1580206242Beer-mug-mockup-600x600.jpg,Personalised Cheers to Beer Mug,699,699
13,13,Unique New Year Gifts,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/19082018/DSC_4963-600x600.jpg,Dairy Milk Chocolate Bouquet,495,495
14,14,2021 New Year Rose Swirl Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16093415855-600x600.jpeg,2021 New Year Rose Cake,849,849
15,15,Best New Year Gift,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15777016212-600x600.jpg,New Year Yellow Roses,545,545
16,16,One Heart Shape Personalised Table Top,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/009/1557929545IMG_9386-600x600.jpg,Heart Shaped Frame,399,399
17,17,2021 Strawberry New Year Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16093423244-600x600.jpeg,2021 Strawberry Photo Cake,999,999
18,18,2 layer lucky bamboo in round glass vase,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/29-09-2018/1540358108DSC_6156-600x600.jpg,Two Layered Bamboo Luck,499,499
19,19,"Basket of 5 kitkat (13.2gms each), 5 5star (22.4gms each), 6 DiaryMilk silk (60 gms each) and 16pcs ferrero rochers (200gms)",https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/29-09-2018/1542350176DSC_7212-600x600.jpg,Basket Full of Chocolates,2599,2599
20,20,"Bouquet of 10 Mixed Chocolates (Kitkat,Five Star and Dairy Milk Chocolate)",https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/19082018/DSC_4993-600x600.jpg,Mixed Chocolate Bouquet,695,695
21,21,One Personalised Square Shape Puzzlefor Mom,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/1581081684IMG_8006-800x800-600x600.jpg,Puzzling in Love,549,549
22,22,2021 Red Velvet Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16093406422-600x600.jpeg,2021 Red Velvet Heart Shape Cake,999,999
23,23,10 Mix Roses and 1/2 Kg Pineapple Cake with New Year Greeting Card (6 inches),https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15777028274-600x600.jpg,Best Surprising Combo For New Year,1145,1145
24,24,New Year Gifts Ideas,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/01-01-2018/15754578914-600x600.jpg,Shades of Roses,449,449
25,25,A4 Size Personalized Frame with a Lovely Message for Boyfriend,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/009/1549608297Frame_7-1-600x600.jpg,Photo Affection,499,499
26,26,Half Kg Heart Shape Chocolate Cake for New Year,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/157666928211-600x600.jpg,New Year Heart Shaped Chocolate Cake,799,699
27,27,Mixed Chocolate Basket Hamper,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/25thfeb/gourmet-delight-600x600.JPG,Gourmet Delight,795,795
28,28,Bouquet of 8 5-Star Chocolates in blue and purple paper packing,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/19082018/DSC_4970-600x600.jpg,5 Star Chocolate Bouquet,545,545
29,29,"New Year Combo of Greeting Card, Wine and Dryfruit",https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16085623656-600x600.jpg,Jolly New Year Combo,3099,3099
30,30,Happy New Year Gift,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15777022879-600x600.jpg,Bouquet of Emotions for New Year,1699,1699
31,31,New Year Half Kg Butterscotch Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/29-09-2018/1542879768GDS_0014-600x600.jpg,Butterscotch New Year Delight,599,599
32,32,Half Kg Pineapple Cake for New Year,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/29-09-2018/1542881187GDS_0022-600x600.jpg,Pineapple New Year Cake,599,599
33,33,Photo Sipper Bottle,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/07012019/DSC_7390-600x600.jpg,Stylish Photo Sipper ,499,449
34,34,New Year Unique Gifts,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/03042019/IMG_6007-600x600.jpg,The Love Whisper ,549,549
35,35,Jade Plant in a Round Glass Vase,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/26-07-2018/1536310812Plant_1-600x600.jpg,Fantastic Jade Terrarium,799,599
36,36,10 Pink Roses in Cellophane Packing,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/181017/_MG_2876-600x600.jpg,Splendid Pink,399,399
37,37,One Personalised Heart Shape Puzzle for Mother,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/27042019/IMG_8007-600x600.jpg,Heartly Yours,549,549
38,38,10 Red Roses in Cellophane Packing,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/009/1556889992IMG_8207-600x600.jpg,Bold Roses,449,445
39,39,Half Kg Pineapple Cake for New Year,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15766688111-600x600.jpg,New Year Pineapple Mania Cake,599,599
40,40,12 Mix Roses in Paper Packing with Half Kg Chocolate Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/29-09-2018/1542094973_DSC1106-600x600.jpg,Floral Medley Hamper,1249,1049
