,Unnamed: 0,description,imageurl,name,price,price_new
0,0,Gucci Bamboo Edition Perfume,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16159808481-600x600.jpg,Gucci Bamboo Edition Perfume,2999,2999
1,1,Jo Malone Perfume,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16159902081-600x600.jpg,Jo Malone Perfume,2500,2500
2,2,Nike Perfume and Deo Set for women,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/04-08-2018/1546264160395-600x600.jpg,Nike Gift Set,2149,2149
3,3,Versace Eros Flame Perfume,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16159870831-600x600.jpg,Versace Eros Flame Perfume,2600,2600
4,4,Colour Me Purple Bottle Perfume,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/04-08-2018/1546426365387-600x600.jpg,Colour Me ,1499,1499
5,5,KUOROS Perfume,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16159893111-600x600.jpg,KUOROS Perfume,2999,2999
6,6,Azzaro Perfume for Men,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/04-08-2018/1546265620218-600x600.jpg,Azzaro Perfume,4750,4195
7,7,Davidoff Perfume Set,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/04-08-2018/1547112663383-600x600.jpg,DavidOff Perfume,3999,3999
8,8,Pure XS Perfume,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16159889921-600x600.jpg,Pure XS Perfume,2999,2999
9,9,Havoc Perfume for Men and Women,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/04-08-2018/1546426746400-600x600.jpg,Perfumes,1499,1499
10,10,Blue Lady Perfume for Women,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/04-08-2018/1546263776397-600x600.jpg,Blue Lady Perfume,1899,1899
11,11,Tom Ford Noir De Noir Perfume,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16159876571-600x600.jpg,Tom Ford Noir De Noir Perfume,2999,2999
