,Unnamed: 0,description,imageurl,name,price,price_new
0,0,Red Dracena Plant,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/NEW/16169496385-600x600.jpg,Red Dracena Marginata Plant,699,630
1,1,King Queen Plant Pots Combo,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16042336707-600x600.jpg,Pair of Care Plants,899,899
2,2,Haworthia Limifolia Succulent Plant,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15904956771-600x600.jpg,Haworthia Limifolia Succulent Plant,399,399
3,3,Fiscus Tree Plant in Designer Pot,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16042354284-600x600.jpg,Cute Desk Plant,699,599
4,4,Jade Plant in Designer Pot,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16042330648-600x600.jpg,Emily Jade Plant,599,599
5,5,One White Syngonium Terrarium Plant in Glass Vase,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15757232768-600x600.jpg,White Syngonium Terrarium Plant,649,649
6,6,One Sketcth Art Personalised Mug with Jade Terrarium Plant,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/27042019/IMG_7885-600x600.jpg,An Attractive Surprise,599,599
7,7,Crasulla Ovata Plant,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/NEW/16169483122-600x600.jpg,Lush Potted Crasulla Ovata Plant,799,759
8,8,One Snake Terrarium Plant in Glass Vase,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15757201656-600x600.jpg,Snake Terrariuim Plant,699,699
9,9,2 Dairy Milk Silk Chocolate (65 gm) with One White Pothos Plant in Red Round Pot,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15757177193-600x600.jpg,Sweet Caring Combo,699,699
10,10,Sansevieria plant in a vase wrapped with yellow jute,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/23102019/DSC_6024-600x600.jpg,Easy Care Sansevieria,599,599
11,11,Fern Plant is Designer Pot,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16041308611-600x600.jpg,Fern Merry Plant,649,649
12,12,Aglaonema Plant in Plastic Pot,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/NEW/16169492834-600x600.jpg,Earthy Aglaonema Plant,899,849
13,13,One Money Plant in Designer Pot Wrapped with Jute and a small heart design on it,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/157986891119-600x600.jpg,Jovial Money Plant,649,649
