,Unnamed: 0,description,imageurl,name,price,price_new
0,0,"A bunch of Flowers (12 Red Roses, 3 White Asiatic Lily) in Red and White Paper Packing, White Paper Bow with Soan Papdi (Half Kg)",https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/Combos/Flower with Chocolate/new-combos-37-600x600.jpg,Bunch of Beauties,1395,1395
1,1,Haldiram Kaju Katli 500 gm,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/1Rakhi/1Rakhi/5I5B4390-600x600.jpg,Haldirams Kaju Katli,1145,1145
2,2,Designer Thali of Kaju Rolls and Besan Laddoo,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/1Rakhi/1Rakhi/5I5B4435-600x600.jpg,Sweets in Silver Thali,1999,1999
3,3,Pack of Scented Candles with Haldiram Karachi Halwa and Diyas for Diwali,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/0910/IMGL6360-600x600.jpg,Karachi Surprise,895,895
4,4,Haldiram Raj Bhog Tin Pack 1 Kg,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/1Rakhi/1Rakhi/5I5B4331-600x600.jpg,Haldirams Raj Bhog,845,845
5,5,Kaju Katli Pack with Almond,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/26072018/DSC_3646-600x600.jpg,Almonds Potli N Kaju Katli,1295,1295
6,6, Soan Papdi (250 gms) and A Cane Basket containing Almonds (100 gms) and Cashew Nuts (100 gms),https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/26072018/DSC_3563-600x600.jpg,Soan Papdi N Dry Fruits,895,895
7,7,Silver Plated Thali with Gulab Jamun Tin Pack and Almond Cashew Potli,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/1Rakhi/1Rakhi/5I5B4326-600x600.jpg,Amazing Surprise,1595,1349
8,8,Motichoor Kesar Ladoo,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/1Rakhi/1Rakhi/5I5B4204-600x600.jpg,Kesariya Ladoos,1245,1245
9,9,12 Red and White Roses in Cellophane Packing with Soan Papdi ( Half Kg),https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/1570015588IMG_2817-600x600.jpg,Roses and Soan Papdi,895,895
