,Unnamed: 0,description,imageurl,name,price,price_new
0,0,One Bouquet of 6 Red Roses and 5 Kitkat (13.2 gm) Chocolates ,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/03042019/IMG_5927-600x600.jpg,Breeze of Sweetness ,599,599
1,1,500 red roses arrangement,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/15175829102018-02-02-600x600.jpg,Love of 500 Roses,12990,12990
2,2,Half Kg Heart Shape Chocolate Cake for Valentines Day,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15799483077a-600x600.jpg,Valentines Day Heart Shape Chocolate Cake,799,699
3,3,250 Roses arranged in different flower arrangement,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/./185-600x600.jpg,Room of Roses,8950,8950
4,4,Kitkat Chocolate Vase Arrangement,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/1611321629IMG_6-600x600.jpg,Divine Celebration Box,599,599
5,5,10 Red Roses Bunch with Half Kg Chocolate Truffle Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/29-09-2018/1541999414_DSC1051-600x600.jpg,Sweet Bliss,1149,1099
6,6,Five Star Chocolate Basket,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/1611321235IMG_4-600x600.jpg,5 Star Basket,549,549
7,7,8 Mixed Roses,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16130365633-600x600.jpg,8 Mixed Roses Bouquet,399,399
8,8,Kitkat Roses Arrangement,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16114959941-600x600.jpg,Kitkat Rose Arrangement,699,699
9,9,Valentine Day Gifts,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/009/15548172908881-600x600.jpg,Love You Beary Much,55000,55000
10,10,Valentines Gifts,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/13062018/DSC_2347-600x600.jpg,100 Roses N Chocolate Cake,3850,3850
11,11,Half Kg Black Forest Cake for Valentines Day,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15799470973-600x600.jpg,Valentines Day Black Forest Cake,599,499
12,12,8 Pink Roses with Pink paper packing,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16130358251-600x600.jpg,Pink Beauty Bouquet,495,399
13,13,Bouquet of 6 Dairy Milk Chocolates in white and yellow paper packing,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/19082018/DSC_4963-600x600.jpg,Dairy Milk Chocolate Bouquet,495,495
14,14,50 red roses in Paper packing with One kg heart shape truffle,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/29-09-2018/1542355287DSC_7350-600x600.jpg,Evergreen Classic Hamper,2835,2835
15,15,Chocolate Hamper of 10 Dairy Milk Silks Chocolate (60 gm),https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/31102018/DSC_6419-600x600.jpg,Sweet Chocolate Hamper,1749,1749
16,16,10 Pink Roses with Ferrero Rocher (8 pcs) in White paper,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/06thJan/rochers-with-roses-600x600.JPG,Rochers with Roses,1250,1250
17,17,12 Roses (White and Red) wrapped in cellophane,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/29-09-2018/1541232728DSC_6552-600x600.jpg,Soft and Fierce,449,449
18,18,"Chocolate Basket of 5 Kitkat (13.2 gm), 5 Dairy Milk (13.2 gm) and 4 five star (22.4 gm)",https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/29-09-2018/1542017611DSC_6506-600x600.jpg,Chocolate For Happiness,795,699
19,19,8 Mixed Roses Bouquet with Dairy Milk Chocolate,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16130369964-600x600.jpg,8 Mixed Roses Chocolate Combo,499,499
20,20,Half Kg Heart Shaped Photo Printed Truffle Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/157858115529a-600x600.jpg,Photo Love Truffle Cake,1049,1049
21,21,12 Mix Roses in Paper Packing with Half Kg Chocolate Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/157996356722-600x600.jpg,Valentines Day Floral Medley Hamper,1249,1249
22,22,8 Red Roses,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16130377782-600x600.jpg,8 Red Roses,425,425
23,23,10 Pink Roses in Jute Packing and Pink Rafia,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/009/1557125390IMG_8823-600x600.jpg,Jute Wrapped Beauties ,599,599
24,24,10 Mixed Roses (5 Red and 5 white) in Jute Packing,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/009/1557320384IMG_9011-600x600.jpg,Aesthetic Appeal,625,625
25,25,A Bunch of 12 Assorted Roses ,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/01-01-2018/15754568623-600x600.jpg,12 Assorted Roses,499,499
26,26,Lilies Roses Arrangement,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/1611387971IMG_26_2-600x600.jpg,Swiss Floral Delight,799,799
27,27,12 Red Roses in Paper Packing with 2 Cadbury's DairyMilk Silk (60 gms each),https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15795322064-600x600.jpg,Stunning Red Combo,799,799
28,28,Valentine Gift Ideas,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/157995543523-600x600.jpg,Valentines Day Love Hamper,1399,1399
29,29,Chocolate Flowers Vase Arrangement,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/1611327724IMG_5-600x600.jpg,Love Creation,799,799
30,30,30 Red Roses in a Basket,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/157953104611-600x600.jpg,Roses in Boat,1050,1050
31,31,Valentine Day Gift,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/13thJan/bouquet-of-emotions-600x600.JPG,Bouquet of Emotions,1850,1550
